VPS33B	cluster_11
ICAM5	cluster_11
FAM57B	cluster_11
ANKRD60	cluster_55
GFM2	cluster_55
CPD	cluster_55
CORO1C	cluster_55
MAN2B1	cluster_55
ARFGAP2	cluster_55
FGA	cluster_55
GPRC5A	cluster_55
NEURL	cluster_251
ZNF444	cluster_251
PPFIA1	cluster_251
POLR2J	cluster_251
LRRC53	cluster_251
FAM210A	cluster_251
DGKI	cluster_251
TBC1D5	cluster_313
FAM193A	cluster_313
HSPH1	cluster_313
UBQLNL	cluster_319
TRPC7	cluster_319
ZFC3H1	cluster_319
AKR1CL1	cluster_319
B3GAT2	cluster_319
SAAL1	cluster_319
PDCD6IP	cluster_319
EXOC2	cluster_11
NPIPL3	cluster_55
EVPLL	cluster_55
NPIP	cluster_55
GAS2L2	cluster_55
SYNE3	cluster_55
SMTNL2	cluster_55
GAS2L1	cluster_55
MICALL1	cluster_55
CLMN	cluster_55
MRPL38	cluster_55
MICAL2	cluster_55
KRT7	cluster_55
SEC31A	cluster_55
MICAL3	cluster_55
SPECC1L	cluster_55
MICALL2	cluster_55
SPECC1	cluster_55
MOSPD2	cluster_55
SMTNL1	cluster_55
EPPK1	cluster_55
SMTN	cluster_55
LUC7L2	cluster_55
MICAL1	cluster_55
SEC14L6	cluster_55
CLVS2	cluster_55
LSM3	cluster_55
SYNE1	cluster_55
DNAJC19	cluster_55
SEC14L3	cluster_55
SEC14L4	cluster_55
SYNE2	cluster_55
CLVS1	cluster_55
PLS3	cluster_55
PLS1	cluster_55
TTPA	cluster_55
SEC14L2	cluster_55
TTPAL	cluster_55
EHBP1L1	cluster_55
EHBP1	cluster_55
RLBP1	cluster_55
MACF1	cluster_55
SEC14L5	cluster_55
CYB5B	cluster_55
FLNA	cluster_55
NAA38	cluster_55
SPTB	cluster_55
SPTBN5	cluster_55
FLNB	cluster_55
LCP1	cluster_55
SEC14L1	cluster_55
SPTBN4	cluster_55
FLNC	cluster_55
UTRN	cluster_55
SPTBN2	cluster_55
LMO2	cluster_55
TRIM23	cluster_55
DNAJB11	cluster_55
GARS	cluster_55
RPL37	cluster_55
SPTA1	cluster_55
DMD	cluster_55
SPTBN1	cluster_55
SACM1L	cluster_55
SPTAN1	cluster_55
ACTN4	cluster_55
DCTN6	cluster_251
DLK2	cluster_251
LSM4	cluster_251
PTPRQ	cluster_251
PSMD8	cluster_251
XAB2	cluster_251
SF3A2	cluster_251
LSM2	cluster_251
PRPF6	cluster_251
BUD31	cluster_251
POTEB	cluster_251
NKPD1	cluster_251
CCNH	cluster_251
POTEG	cluster_251
LSM10	cluster_251
ANKRD35	cluster_251
SF3A1	cluster_251
POTEM	cluster_251
CASKIN1	cluster_251
POTEC	cluster_251
SNRPB2	cluster_251
ANKRD24	cluster_251
ABTB1	cluster_251
LSM6	cluster_251
KANK3	cluster_251
FPGT-TNNI3K	cluster_251
EVI5L	cluster_313
EVI5	cluster_313
TBC1D1	cluster_313
TBC1D4	cluster_313
SENP3	cluster_313
SLC9C2	cluster_313
ALKBH8	cluster_313
CDC16	cluster_313
AKR7A3	cluster_319
AKR7A2	cluster_319
NXF2B	cluster_319
NXF2	cluster_319
ATP2B3	cluster_319
PAPOLB	cluster_319
PAPOLG	cluster_319
ATP2B2	cluster_319
ATP2B4	cluster_319
ATP2B1	cluster_319
NXF1	cluster_319
PAPOLA	cluster_319
SPTA1	cluster_319
GBE1	cluster_319
TKTL1	cluster_319
TKTL2	cluster_319
