GO-LABEL	PROTEIN	GO-LABEL-TYPE
GO:0000049	EIF2A	molecular_function
GO:0000049	ELP3	molecular_function
GO:0000049	XPO5	molecular_function
GO:0000049	TERT	molecular_function
GO:0000049	NSUN2	molecular_function
GO:0000049	AIMP1	molecular_function
GO:0000049	METTL1	molecular_function
GO:0000049	EIF2S3	molecular_function
GO:0000049	EIF2AK4	molecular_function
GO:0000049	SSB	molecular_function
GO:0000049	EEF1A1	molecular_function
GO:0000287	DHX36	molecular_function
GO:0000287	TREX1	molecular_function
GO:0000287	FOXK2	molecular_function
GO:0000287	ABL1	molecular_function
GO:0000287	ABL2	molecular_function
GO:0000287	NEK6	molecular_function
GO:0000287	ERN1	molecular_function
GO:0000287	RPS6KA5	molecular_function
GO:0000287	MARK1	molecular_function
GO:0000287	RPS6KA1	molecular_function
GO:0000287	RPS6KA2	molecular_function
GO:0000287	RPS6KA3	molecular_function
GO:0000287	STK26	molecular_function
GO:0000287	LRRK2	molecular_function
GO:0000287	STK38	molecular_function
GO:0000287	PI4K2A	molecular_function
GO:0000287	SRPK1	molecular_function
GO:0000287	SRPK2	molecular_function
GO:0000287	SNRK	molecular_function
GO:0000287	SIK1	molecular_function
GO:0000287	MAST2	molecular_function
GO:0000287	ADCY2	molecular_function
GO:0000287	GEM	molecular_function
GO:0000287	PGM1	molecular_function
GO:0000287	NLRC4	molecular_function
GO:0000287	PGM3	molecular_function
GO:0000287	RRAGC	molecular_function
GO:0000287	MAP3K5	molecular_function
GO:0000287	STK3	molecular_function
GO:0000287	STK4	molecular_function
GO:0000287	STK11	molecular_function
GO:0000287	MAPK12	molecular_function
GO:0000287	GCLC	molecular_function
GO:0000287	SPHK1	molecular_function
GO:0000287	FEN1	molecular_function
GO:0000287	RPS6KA6	molecular_function
GO:0000287	PKM	molecular_function
GO:0000287	SIK2	molecular_function
GO:0000287	PDXP	molecular_function
GO:0000287	GNAI1	molecular_function
GO:0000287	OXSR1	molecular_function
GO:0000287	PLSCR3	molecular_function
GO:0000287	NME1	molecular_function
GO:0000287	PLK1	molecular_function
GO:0000287	MAP3K7	molecular_function
GO:0000287	PLSCR1	molecular_function
GO:0000287	ALPI	molecular_function
GO:0000287	ALPP	molecular_function
GO:0000287	DYRK3	molecular_function
GO:0000287	DYRK2	molecular_function
GO:0000287	RAN	molecular_function
GO:0000287	CERK	molecular_function
GO:0000287	RAP2A	molecular_function
GO:0000287	RPS6KA4	molecular_function
GO:0000287	CDC42BPA	molecular_function
GO:0000287	WEE1	molecular_function
GO:0000287	MAP3K8	molecular_function
GO:0000287	DUT	molecular_function
GO:0000287	WRN	molecular_function
GO:0000287	BRSK2	molecular_function
GO:0000287	TPPP	molecular_function
GO:0000287	MSH2	molecular_function
GO:0000287	TDG	molecular_function
GO:0000287	PPA1	molecular_function
GO:0000287	IDH2	molecular_function
GO:0000287	SIK3	molecular_function
GO:0000287	MORC2	molecular_function
GO:0000287	ERN2	molecular_function
GO:0000287	MAP3K6	molecular_function
GO:0000287	CDC42BPB	molecular_function
GO:0000287	TDP2	molecular_function
GO:0000287	NCS1	molecular_function
GO:0000287	PPM1A	molecular_function
GO:0000287	ARF1	molecular_function
GO:0000287	PPM1B	molecular_function
GO:0000287	RHEB	molecular_function
GO:0000287	NUAK2	molecular_function
GO:0000287	FAN1	molecular_function
GO:0000287	MSH6	molecular_function
GO:0000287	LATS1	molecular_function
GO:0000287	NUDT3	molecular_function
GO:0000287	PRKACA	molecular_function
GO:0000287	IRAK4	molecular_function
GO:0000287	PRKACB	molecular_function
GO:0000287	XXYLT1	molecular_function
GO:0000287	MAST1	molecular_function
GO:0000287	IRAK3	molecular_function
GO:0000287	MARK2	molecular_function
GO:0000287	SNCA	molecular_function
GO:0000287	BRSK1	molecular_function
GO:0000287	STK38L	molecular_function
GO:0000287	ENO1	molecular_function
GO:0000287	MAP2K7	molecular_function
GO:0000287	TSSK4	molecular_function
GO:0000287	TOP2A	molecular_function
GO:0000287	NLK	molecular_function
GO:0000287	MAST3	molecular_function
GO:0000287	PINK1	molecular_function
GO:0000400	BLM	molecular_function
GO:0000400	RAD51C	molecular_function
GO:0000400	FANCM	molecular_function
GO:0000400	YY1	molecular_function
GO:0000400	HMGB1	molecular_function
GO:0000400	MSH6	molecular_function
GO:0000400	HMGB2	molecular_function
GO:0000400	MSH2	molecular_function
GO:0000400	MEN1	molecular_function
GO:0000400	ABL1	molecular_function
GO:0000400	XRCC3	molecular_function
GO:0000400	WRN	molecular_function
GO:0000976	SOX2	molecular_function
GO:0000976	SOX4	molecular_function
GO:0000976	SOX10	molecular_function
GO:0000976	DHX36	molecular_function
GO:0000976	SP1	molecular_function
GO:0000976	HHEX	molecular_function
GO:0000976	ERBB4	molecular_function
GO:0000976	CDX1	molecular_function
GO:0000976	FOXK2	molecular_function
GO:0000976	CEBPA	molecular_function
GO:0000976	HDAC4	molecular_function
GO:0000976	NANOG	molecular_function
GO:0000976	GATA1	molecular_function
GO:0000976	GATA3	molecular_function
GO:0000976	GATA4	molecular_function
GO:0000976	GATA6	molecular_function
GO:0000976	PER1	molecular_function
GO:0000976	ETV5	molecular_function
GO:0000976	HMGB1	molecular_function
GO:0000976	IRF1	molecular_function
GO:0000976	HMGB2	molecular_function
GO:0000976	CHD3	molecular_function
GO:0000976	SMAD4	molecular_function
GO:0000976	BCOR	molecular_function
GO:0000976	FOXA1	molecular_function
GO:0000976	FOXA2	molecular_function
GO:0000976	KLF4	molecular_function
GO:0000976	HNF4A	molecular_function
GO:0000976	GFI1	molecular_function
GO:0000976	DDIT3	molecular_function
GO:0000976	MEF2C	molecular_function
GO:0000976	RXRA	molecular_function
GO:0000976	STAT3	molecular_function
GO:0000976	CREBZF	molecular_function
GO:0000976	HNRNPL	molecular_function
GO:0000976	MEN1	molecular_function
GO:0000976	BNC1	molecular_function
GO:0000976	JUN	molecular_function
GO:0000976	JUND	molecular_function
GO:0000976	PER3	molecular_function
GO:0000976	BRCA1	molecular_function
GO:0000976	PER2	molecular_function
GO:0000976	CIITA	molecular_function
GO:0000976	PAX8	molecular_function
GO:0000976	NFE2L2	molecular_function
GO:0000976	YAP1	molecular_function
GO:0000976	GLI1	molecular_function
GO:0000976	NFKB1	molecular_function
GO:0000976	SUV39H1	molecular_function
GO:0000976	GLIS2	molecular_function
GO:0000976	PITX2	molecular_function
GO:0000976	NFYA	molecular_function
