KIR2DL3	cluster_10
CRLF1	cluster_10
IKBKAP	cluster_10
CLSPN	cluster_10
RGMB	cluster_10
CREM	cluster_10
PTH2R	cluster_10
NET1	cluster_10
TUBA4B	cluster_10
ITGAX	cluster_10
BCL2L12	cluster_10
NMB	cluster_10
ABCB1	cluster_10
CDKN3	cluster_10
NEDD8	cluster_10
CDK7	cluster_10
STK24	cluster_16
TUBD1	cluster_16
KIF4A	cluster_16
ZFYVE9	cluster_16
CAMK2D	cluster_16
ASPH	cluster_16
CX3CR1	cluster_16
ITGA3	cluster_16
TGFBR1	cluster_16
ERRFI1	cluster_18
UNC119	cluster_18
HMGA2	cluster_18
NCL	cluster_18
USP14	cluster_18
STXBP2	cluster_18
STEAP4	cluster_18
MGST1	cluster_18
F2RL1	cluster_18
LDHC	cluster_18
CIR1	cluster_18
F2R	cluster_18
CEBPG	cluster_21
ARHGEF6	cluster_21
TRIM8	cluster_21
NAB1	cluster_21
DDC	cluster_21
RB1	cluster_21
DPY30	cluster_21
SELL	cluster_21
AMPH	cluster_21
EIF3H	cluster_21
RGS16	cluster_21
NUTF2	cluster_21
SLC9A1	cluster_21
GCSAM	cluster_21
DHX33	cluster_25
NTRK1	cluster_25
ANKRD17	cluster_25
TRPM4	cluster_25
NEDD1	cluster_25
SND1	cluster_25
PRKCD	cluster_25
Q53ES7	cluster_25
ITGAL	cluster_25
BAZ1B	cluster_25
APLF	cluster_25
PDE4D	cluster_25
TRPM6	cluster_25
SMARCAD1	cluster_25
CD86	cluster_25
GNAS	cluster_25
ANXA5	cluster_30
SH2D1A	cluster_30
DPP4	cluster_30
SP3	cluster_30
HSPA4	cluster_30
HSBP1	cluster_30
PPP5C	cluster_30
CASC5	cluster_30
TRADD	cluster_30
GLRB	cluster_30
CD5	cluster_30
INHBA	cluster_30
HNRNPU	cluster_30
RELN	cluster_30
NR4A1	cluster_30
XAB2	cluster_31
HOOK3	cluster_31
NLRP10	cluster_31
B4DHI4	cluster_31
ARAF	cluster_31
RANBP1	cluster_31
CDC42BPB	cluster_31
RIMS1	cluster_31
Q59FK4	cluster_31
KLF1	cluster_31
TNFRSF25	cluster_31
ANKRD28	cluster_32
PIK3CG	cluster_32
CNTF	cluster_32
PAFAH1B1	cluster_32
TXNRD1	cluster_32
MAP3K2	cluster_32
KIT	cluster_32
UBC	cluster_32
CTNNBIP1	cluster_32
SERPIND1	cluster_32
RAD23B	cluster_32
UNG	cluster_32
CDC20	cluster_32
NR2F1	cluster_32
MCM8	cluster_32
TYMS	cluster_32
CDC25C	cluster_36
NCK1	cluster_36
NEIL2	cluster_36
STRAP	cluster_36
APEX1	cluster_36
CRP	cluster_36
LASP1	cluster_36
EIF4E2	cluster_36
ACVR1	cluster_36
DNAJC9	cluster_36
APBB1	cluster_36
BLVRA	cluster_36
BUB1	cluster_46
KITLG	cluster_46
NRG4	cluster_46
CUX1	cluster_46
PAXIP1	cluster_46
STK38	cluster_46
E4F1	cluster_46
MUSK	cluster_46
TGIF1	cluster_46
CASP5	cluster_46
LHCGR	cluster_46
ARPC1B	cluster_46
WNT7B	cluster_46
KCNMA1	cluster_46
SERBP1	cluster_46
USHBP1	cluster_58
EEF2	cluster_58
CRX	cluster_58
ASH2L	cluster_58
NDN	cluster_58
TIRAP	cluster_58
MAF1	cluster_58
ATAD2	cluster_58
FLII	cluster_58
BCL2L1	cluster_58
STRA13	cluster_58
TRAF5	cluster_58
PARP3	cluster_58
Q59FG2	cluster_58
CNTRL	cluster_72
IL17RB	cluster_72
POLR3G	cluster_72
CLDN19	cluster_72
NDUFS3	cluster_72
KLRK1	cluster_72
ELN	cluster_72
C9	cluster_72
LDLR	cluster_72
SYMPK	cluster_72
NTS	cluster_72
HCFC1	cluster_72
USH1C	cluster_72
ELL	cluster_72
TERF2IP	cluster_94
SLC22A8	cluster_94
INPP5D	cluster_94
WWP1	cluster_94
ABL2	cluster_94
BLNK	cluster_94
LPL	cluster_94
WNT6	cluster_94
EFNA4	cluster_94
BMP15	cluster_94
CARD9	cluster_94
BMPR1B	cluster_94
ADAP1	cluster_94
HNRNPA0	cluster_100
SMARCAL1	cluster_100
ARFGEF1	cluster_100
RPS6KB2	cluster_100
FANCG	cluster_100
PHOX2A	cluster_100
SEMA3A	cluster_100
RFC4	cluster_100
SIGLEC9	cluster_100
KPNA4	cluster_100
CTDSP2	cluster_100
SKI	cluster_100
MYL9	cluster_100
USP28	cluster_117
E2F5	cluster_117
GFI1	cluster_117
MAPK8	cluster_117
MPG	cluster_117
SIK2	cluster_117
FOS	cluster_117
RAG1	cluster_117
CCL20	cluster_117
TWIST1	cluster_117
NABP2	cluster_117
PHLPP2	cluster_117
SOCS3	cluster_117
CDK1	cluster_18
ABL1	cluster_36
IRS1	cluster_117
AKT2	cluster_117
