LDLR	cluster_0
HCFC1	cluster_0
SYMPK	cluster_0
NTS	cluster_0
KLRK1	cluster_0
C9	cluster_0
CLDN19	cluster_0
ELL	cluster_0
ELN	cluster_0
IL17RB	cluster_0
USH1C	cluster_0
UTS2R	cluster_4
OXTR	cluster_4
GFRA3	cluster_4
IL27RA	cluster_4
GIP	cluster_4
SEPT12	cluster_4
SAR1A	cluster_4
TRIM11	cluster_4
PRLHR	cluster_4
TCEA1	cluster_4
FSTL3	cluster_4
GYPC	cluster_4
LGALS3	cluster_11
CCKBR	cluster_11
MYBBP1A	cluster_11
PALLD	cluster_11
CTSV	cluster_11
PAK7	cluster_11
SUV420H1	cluster_11
FGFR3	cluster_11
PPP1R14D	cluster_11
FGF23	cluster_11
MMP16	cluster_11
RPS6KB2	cluster_15
PDCD5	cluster_15
TDP2	cluster_15
RBBP7	cluster_15
CACNA1C	cluster_15
IL22RA2	cluster_15
PTGER1	cluster_15
IL12A	cluster_15
BMPR1A	cluster_15
CYP19A1	cluster_15
ENTPD1	cluster_15
PROM1	cluster_15
DAB2	cluster_15
TRPV4	cluster_15
STK39	cluster_15
A9UF07	cluster_36
MAPKAPK5	cluster_36
UXT	cluster_36
ARFIP2	cluster_36
ECM1	cluster_36
CDKN1B	cluster_36
EFNA5	cluster_36
IGFBP4	cluster_36
ATRX	cluster_36
HOMER3	cluster_36
TYRO3	cluster_36
TP53INP1	cluster_36
TLX1	cluster_36
RB1CC1	cluster_36
HSPG2	cluster_36
WSB1	cluster_69
POLK	cluster_69
VEGFB	cluster_69
KLRC1	cluster_69
CXCR1	cluster_69
SGK2	cluster_69
AGTR2	cluster_69
DCLRE1B	cluster_69
PDZD3	cluster_69
SYT11	cluster_69
RGS10	cluster_69
SV2A	cluster_69
A2M	cluster_69
CRADD	cluster_69
SMARCD3	cluster_69
ALYREF	cluster_77
ZNF76	cluster_77
EIF2B3	cluster_77
SEMA4D	cluster_77
SNX18	cluster_77
CTNNBIP1	cluster_77
TXK	cluster_77
YES1	cluster_77
ITGA1	cluster_77
TARDBP	cluster_77
PARVA	cluster_77
ZFP91	cluster_90
IRAK1	cluster_90
PRKX	cluster_90
PLAA	cluster_90
PRKD1	cluster_90
RGMA	cluster_90
HIPK4	cluster_90
CASP5	cluster_90
SETMAR	cluster_90
TAOK2	cluster_90
NPHS2	cluster_90
STOM	cluster_90
EIF4B	cluster_90
ARG1	cluster_90
PRKCG	cluster_15
AXIN1	cluster_15
PRKCB	cluster_15
TSC1	cluster_36
FOXO3	cluster_36
GRB2	cluster_36
CXCL8	cluster_69
TLR5	cluster_90
BTK	cluster_90
MAP3K7	cluster_90
